code,name,latitude,longitude
7030,de Bordeaux / Marie-Anne,45.53340912723174,-73.57065707445145
6141,de Bordeaux / Rachel,45.53227,-73.56828
6100,Mackay / de Maisonneuve,45.49659,-73.57851
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507
6730,35e avenue / Beaubien,45.570081,-73.573047
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421375524564,-73.55155974626541
6108,Logan / Fullum,45.528448693514136,-73.55108499526978
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199
6223,du Mont-Royal / du Parc,45.517,-73.589
6233,Bernard / Jeanne-Mance,45.5242864769531,-73.60497325658798
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295
6041,St-Jacques / Gauvin,45.500674,-73.561082
6397,Marché Maisonneuve,45.55321884238814,-73.53978216648102
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.511672575337855,-73.56204181909561
6073,de Maisonneuve / Aylmer,45.50501,-73.57069
6027,de Maisonneuve / Mansfield (ouest),45.502053864057466,-73.57346534729004
6107,St-Mathieu /Ste-Catherine,45.493718,-73.579186
6137,Gauthier / Papineau,45.52969260094507,-73.56740087270737
6138,Gauthier / de Lorimier,45.53167355364312,-73.56541335582732
6095,Chomedey / de Maisonneuve,45.491800276787224,-73.58400642871855
6005,de la Cathédrale / René-Lévesque,45.49923714985484,-73.56944203376769
6072,Metcalfe / de Maisonneuve,45.50171494932855,-73.57413053512573
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497
6710,Georges-Baril / Fleury,45.55837563499052,-73.65884408354759
7005,Marquette / Fleury,45.56735205736566,-73.65378744900227
6191,St-Zotique / Clark,45.531401,-73.612674
6262,de la Roche /  de Bellechasse,45.537159225331315,-73.59747648239136
6061,McGill College / Ste-Catherine,45.50192926069952,-73.57145100831985
4000,Jeanne-d'Arc / Ontario,45.54945734212034,-73.54164898395538
6700,de la Salle / Ste-Catherine,45.54996328646854,-73.53443384170531
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.515604257816335,-73.57213497161865
7043,Ernest-Gendreau / du Mont-Royal,45.549713734001415,-73.56384828686714
6361,Molson / Beaubien,45.54968589617967,-73.59115451574326
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576
6248,St-Dominique / Rachel,45.518593,-73.581566
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255
7019,Casgrain / St-Viateur,45.52751292628879,-73.59879076480864
7026,Maguire / Henri-Julien,45.527041096087785,-73.59347056655677
6218,Prince-Arthur / St-Urbain,45.51258740220925,-73.57373893260956
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273
6152,Chabot / du Mont-Royal,45.53418509490266,-73.57358872890472
6197,de Bordeaux / Masson,45.53898439552301,-73.5824453830719
6335,du Rosaire / St-Hubert,45.54467,-73.621581
6261,Louis Hémon / Rosemont,45.54459855947176,-73.58822286128998
6254,Boyer / Bélanger,45.54006,-73.60897
6280,Fairmount / St-Dominique,45.524504989237535,-73.59414249658585
6227,de l'Esplanade / Laurier,45.521116220989526,-73.59478354454039
6060,Stanley / du Docteur-Penfield,45.50252519241664,-73.5803371667862
6159,Ann / William,45.495894391754916,-73.5600972175598
6748,Young / Wellington,45.49282530947313,-73.55797827243805
6129,de Bordeaux / Sherbrooke,45.52997069129102,-73.56305301189423
6106,Papineau / René-Lévesque,45.52114,-73.54926
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545
6154,Marquette / du Mont-Royal,45.53229,-73.57544
6364,de Chambly / Rachel,45.54991069359101,-73.55826258659361
6163,Marquette / Laurier,45.53543,-73.5822
6272,de Bordeaux / St-Zotique,45.546539011777845,-73.59866470098495
6267,Chabot / Beaubien,45.544375546398065,-73.59564453363419
6411,Clark / Prince-Arthur,45.5133025720765,-73.57296109199524
6153,Cartier / Marie-Anne,45.532674,-73.571776
6089,Henri-Julien / du Carmel,45.527839413108,-73.59482109546661
7062,William / Robert-Bourassa,45.49716534003792,-73.55933010578154
6087,Notre-Dame / de la Montagne,45.49302901258371,-73.56481790542603
6720,Ontario / Viau,45.5594818,-73.535496
6209,Milton / Clark,45.51254135285248,-73.57067719101906
6070,Milton / University,45.5064484,-73.57634872
6062,Drummond / Ste-Catherine,45.49863930330429,-73.57422709465027
6031,St-Antoine / St-François-Xavier,45.50454228987185,-73.55916380882263
6200,Maguire / St-Laurent,45.524628485592636,-73.5958108305931
6750,Frontenac / du Mont-Royal,45.53927089395617,-73.56837183237076
7029,Cartier / Masson,45.5380207402854,-73.58352363109587
6083,Square Phillips,45.50373771539475,-73.56810629367828
6407,Charlevoix / Lionel-Groulx,45.48392802,-73.57731164
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925
6237,Gilford / de Lanaudière,45.53200800170645,-73.58044445514679
6155,Garnier / du Mont-Royal,45.53092,-73.57674
6729,St-André / Ste-Catherine,45.516426545782224,-73.5581123828888
6085,Notre-Dame / Peel,45.4952,-73.56328
6046,Métro Bonaventure (de la Gauchetière / Mansfield),45.49871,-73.56671
6247,St-Dominique / St-Zotique,45.53228145673193,-73.61099146306515
6908,de Bellechasse / de St-Vallier,45.53334868400571,-73.60113568603992
6196,Villeneuve / St-Laurent,45.52134173413233,-73.58941912651062
6210,Métro Sauvé (Berri / Sauvé),45.550692068419764,-73.65636706352234
7006,Clark / Fleury,45.54764847825576,-73.6655656993389
6014,St-Denis / Maisonneuve,45.514357,-73.561506
6026,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395
6241,Hutchison / Fairmount,45.51951505168392,-73.59851717948914
6157,de la Roche / du Mont-Royal,45.52875779392618,-73.57867956161499
6232,Hutchison / Van Horne,45.525021229212776,-73.61073732376099
7028,de Gaspé / St-Viateur,45.52774827884841,-73.59743893146515
6230,Waverly / St-Viateur,45.5238561444472,-73.60012650489807
6246,Métro Outremont (Wiseman / Van Horne),45.52027053865367,-73.61484915018082
7078,Hochelaga / Chapleau,45.53445294687473,-73.55965197086334
6103,Lespérance / de Rouen,45.538799,-73.552496
6402,Square Sir-Georges-Etienne-Cartier / Ste-Émilie,45.47266800851548,-73.585389778018
10002,Métro Charlevoix (Centre / Charlevoix),45.47822787309145,-73.56965124607086
6268,Chambord / Beaubien,45.539932183126695,-73.59934329986572
6336,Faillon / St-Hubert,45.54297175887712,-73.61793905496597
6410,Métro Crémazie (Crémazie / Lajeunesse),45.54640752148169,-73.63842844963074
6412,Complexe sportif Claude-Robillard,45.553262,-73.638615
6025,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817
6177,St-Hubert / Duluth,45.522557610252086,-73.57440948486328
6176,de Mentana / Rachel,45.524963239803235,-73.57555881142616
6110,Poupart / Ste-Catherine,45.52903307037075,-73.54634821414948
6002,Darling / Ste-Catherine,45.54046008168309,-73.54030251502991
6259,Dandurand / de Lorimier,45.540881,-73.584157
6082,5e avenue / Rosemont,45.54990048023633,-73.58308374881744
6174,Roy / St-Denis,45.51908,-73.5727
6202,Ste-Famille / Sherbrooke,45.51007154847701,-73.57075229287146
6217,Vallières / St-Laurent,45.518967223320054,-73.5836161673069
7084,McTavish / Sherbrooke,45.502812816508936,-73.57602417469025
6131,Fullum / Sherbrooke ,45.533924,-73.562425
6216,Parc Jeanne Mance (monument à sir George-Étienne Cartier),45.51496,-73.58503
